"","mass","int","logint"
"295",198.185134887695,2736.86181640625,7.91456722051963
"296",199.029647827148,10157.9404296875,9.22601098696986
"297",199.096923828125,6652.69482421875,8.8027772882883
"298",199.133239746094,7009.36279296875,8.85500207617785
"299",199.169372558594,34491.5703125,10.4484702343958
"300",199.988128662109,5401.62109375,8.59445439004689
"301",200.128631591797,2526.26904296875,7.83449880672752
"302",200.164688110352,2197.43383789062,7.69504552120648
"303",200.172454833984,3005.09765625,8.00806534436139
"304",200.200744628906,3184.12182617188,8.06593180822096
"305",201.1123046875,5270.7841796875,8.5699344311654
"306",201.148620605469,25053.396484375,10.1287646855204
"307",201.18489074707,3895.34716796875,8.26753808603215
"308",201.213287353516,3281.68920898438,8.09611357154893
"309",202.180068969727,3925.03784179688,8.27513127139217
"310",203.091339111328,3603.638671875,8.18969935617575
"311",203.106750488281,3881.0693359375,8.2638659966918
"312",203.12809753418,4064.33569335938,8.31000558755943
"313",203.143417358398,4457.8056640625,8.40241192036721
"314",203.164031982422,2268.38598632812,7.72682383834268
"315",203.934066772461,2082.67309570312,7.64140748977196
"316",204.011703491211,1710.25256347656,7.44439633652995
"317",204.01921081543,13765.3759765625,9.52991173115665
"318",204.023681640625,4737.29541015625,8.46322166326688
"319",204.102569580078,2348.89306640625,7.76169946059429
"320",204.138412475586,36304.7890625,10.4997049416474
"321",204.648742675781,1633.33581542969,7.39837971508028
"322",204.966934204102,8274.166015625,9.02089341155598
"323",205.086120605469,40148.9765625,10.6003522287013
"324",205.121978759766,1987.20568847656,7.59448475429372
"325",205.144195556641,2496.31860351562,7.82257236698258
"326",205.742797851562,1943.25134277344,7.57211779910375
"327",206.089508056641,3367.86743164062,8.12203501343571
"328",207.13818359375,2681.97827148438,7.8943099621997
"329",207.159225463867,65174.859375,11.0848290811469
"330",207.164886474609,1621.03137207031,7.39081787507728
"331",208.096908569336,2728.8251953125,7.91162646417252
"332",208.162643432617,5210.46337890625,8.55842407108157
"333",209.02375793457,12956.8154296875,9.46937721669348
"334",209.059921264648,5056.96630859375,8.52852203872711
"335",209.117828369141,3528.88159179688,8.16873627020697
"336",209.153961181641,11903.640625,9.38459956718504
"337",209.189910888672,3900.35498046875,8.26882284860862
"338",210.157333374023,2081.61279296875,7.64089825347761
"339",211.133071899414,6799.0595703125,8.82453958311662
"340",211.144088745117,3547.9140625,8.17411512174379
"341",211.169448852539,10509.36328125,9.26002187985219
"342",211.205795288086,3006.365234375,8.00848706472027
"343",213.148834228516,9482.59765625,9.15721357208635
"344",213.184875488281,5731.75146484375,8.65377642876932
"345",214.089584350586,4617.6025390625,8.43763091844567
"346",215.025970458984,2327.63427734375,7.75260769914931
"347",215.081909179688,2375.43994140625,7.77293793780105
"348",215.125244140625,15824.533203125,9.66931674914446
"349",215.164291381836,145127.328125,11.8853667610765
"350",215.454742431641,2441.57788085938,7.80039978176805
"351",216.12370300293,2576.70190429688,7.85426552848487
"352",216.167572021484,17399.783203125,9.76421302553448
"353",217.003494262695,16677.83203125,9.72183569331968
